tier,expr,label,yomi
easy,72x2=144,Ji,なにんにいしし
easy,73x2=146,Ji,ぬんにいじる
easy,21x7=147,Ji,ふぃんないしな
easy,74x2=148,Ji,にょんにいしば
easy,51x3=153,Ji,こいんさぴらみ
easy,31x5=155,Ji,さいんこいだ
easy,52x3=156,Ji,こにんさひころ
easy,53x3=159,Ji,こさんさびで
easy,81x2=162,Ji,はいんにいろち
easy,41x4=164,Ji,しいんしひろし
easy,82x2=164,Ji,はにんにひろし
easy,83x2=166,Ji,はさんにいるる
easy,21x8=168,Ji,ふぃんはいろは
easy,42x4=168,Ji,しにんしいろは
easy,84x2=168,Ji,はしんにいろは
easy,91x2=182,Ji,きいんにいっぱ
easy,61x3=183,Ji,りんさいやみ
easy,92x2=184,Ji,きにんにいやし
easy,31x6=186,Ji,さいんろいばる
easy,62x3=186,Ji,ろにんさいばる
easy,93x2=186,Ji,きさんにいばる
easy,94x2=188,Ji,きょんにいわ
easy,21x9=189,Ji,ふぃんきひやく
easy,63x3=189,Ji,むんさひやく
easy,71x3=213,Ji,うぃんさにいさ
easy,72x3=216,Ji,なにんさにぃろ
easy,31x7=217,Ji,さいんなにいな
easy,73x3=219,Ji,ぬんさついき
easy,81x3=243,Ji,はいんさふゆ
easy,61x4=244,Ji,りんしふじょ
easy,41x6=246,Ji,しいんろぶしろ
easy,82x3=246,Ji,はにんさぶしろ
easy,31x8=248,Ji,さいんはふじや
easy,62x4=248,Ji,ろにんしふじや
easy,83x3=249,Ji,はさんさふで
easy,51x5=255,Ji,こいんこぶた
easy,91x3=273,Ji,きいんさふなさ
easy,92x3=276,Ji,きにんさぷうる
easy,31x9=279,Ji,さいんきふね
easy,93x3=279,Ji,きさんさふね
easy,71x4=284,Ji,うぃんしちゃば
easy,41x7=287,Ji,しいんなちゃう
easy,72x4=288,Ji,なにんしにっぱ
easy,81x4=324,Ji,はいんしみに
easy,41x8=328,Ji,しいんはみつは
easy,82x4=328,Ji,はにんしみつは
easy,71x5=355,Ji,うぃんこみた
easy,51x7=357,Ji,こいんなそな
easy,91x4=364,Ji,きいんしすりゅ
easy,61x6=366,Ji,りんろみるる
easy,92x4=368,Ji,きにんしさるや
easy,41x9=369,Ji,しいんきさめ
easy,71x6=426,Ji,うぃんろしぶる
easy,61x7=427,Ji,りんなしちゅ
easy,91x5=455,Ji,きいんこしだ
easy,51x9=459,Ji,こいんきしごく
easy,81x6=486,Ji,はいんろしゃろ
easy,61x8=488,Ji,りんはじっぱ
easy,71x7=497,Ji,うぃんなしぐな
easy,91x6=546,Ji,きいんろこじろ
easy,61x9=549,Ji,りんきこゆき
easy,81x7=567,Ji,はいんなころな
easy,71x8=568,Ji,うぃんはごむば
easy,91x7=637,Ji,きいんなむう
easy,71x9=639,Ji,うぃんきろせ
easy,81x8=648,Ji,はいんはじょば
easy,91x8=728,Ji,きいんはなつは
easy,81x9=729,Ji,はいんきなつき
easy,91x9=819,Ji,きいんきばいく
easy,22x5=110,JI·E0·G0,ちんこいと
easy,55x2=110,JI·E0·G0,たんにいと
easy,24x5=120,JI·E0·G0,ちょんこひにん
easy,26x5=130,JI·E0·G0,にろんこいさん
easy,28x5=140,JI·E0·G0,ちゃんこひょん
easy,42x5=210,JI·E0·G0,しにんこにと
easy,44x5=220,JI·E0·G0,しょんこぶぶん
easy,55x4=220,JI·E0·G0,たんしぶぶん
easy,46x5=230,JI·E0·G0,しろんこつみれ
easy,48x5=240,JI·E0·G0,しゃんこふしん
easy,62x5=310,JI·E0·G0,ろにんこさと
easy,64x5=320,JI·E0·G0,りょんこさぶん
easy,55x6=330,JI·E0·G0,たんろすお
easy,66x5=330,JI·E0·G0,ろろんこすお
easy,68x5=340,JI·E0·G0,りゃんこみしん
easy,82x5=410,JI·E0·G0,はにんこしと
easy,84x5=420,JI·E0·G0,はしんこよぶん
easy,86x5=430,JI·E0·G0,はろんこじさん
easy,55x8=440,JI·E0·G0,たんはしょお
easy,88x5=440,JI·E0·G0,わんこしょお
easy,56x2=112,JI·G0,ころんにいいぶ
easy,57x2=114,JI·G0,てゅんにいいし
easy,23x5=115,JI·G0,つんこびいこ
easy,58x2=116,JI·G0,ふぁんにいいろ
easy,59x2=118,JI·G0,てんにびいば
easy,25x5=125,JI·G0,にこんこてぃら
easy,27x5=135,JI·G0,ちゅんこいそ
easy,29x5=145,JI·G0,つぇんこひよこ
easy,53x4=212,JI·G0,こさんしにぃに
easy,43x5=215,JI·G0,ゆんこにいご
easy,54x4=216,JI·G0,ふぉんしにぃろ
easy,56x4=224,JI·G0,ころんしちよ
easy,45x5=225,JI·G0,しこんこちこ
easy,57x4=228,JI·G0,てゅんしちゃ
easy,58x4=232,JI·G0,ふぁんしつぶ
easy,47x5=235,JI·G0,しゅんこつらら
easy,59x4=236,JI·G0,てんしつる
easy,49x5=245,JI·G0,しぇんこちょこ
easy,52x6=312,JI·G0,こにんろさいふ
easy,63x5=315,JI·G0,むんこぷろ
easy,53x6=318,JI·G0,こさんろさいば
easy,54x6=324,JI·G0,ふぉんろみに
easy,65x5=325,JI·G0,もんこみにこ
easy,67x5=335,JI·G0,りゅんこささご
easy,56x6=336,JI·G0,ころんろすろ
easy,57x6=342,JI·G0,てゅんろみしつ
easy,69x5=345,JI·G0,めんこさよこ
easy,58x6=348,JI·G0,ふぁんろさしゃ
easy,59x6=354,JI·G0,てんろそし
easy,83x5=415,JI·G0,はさんこよいこ
easy,52x8=416,JI·G0,こにんはしいる
easy,53x8=424,JI·G0,こさんはしちゅ
easy,85x5=425,JI·G0,ほんこゆにこ
easy,54x8=432,JI·G0,ふぉんはゆに
easy,87x5=435,JI·G0,はなんこしそ
easy,89x5=445,JI·G0,へんこしょこ
easy,56x8=448,JI·G0,ころんはししゃ
easy,57x8=456,JI·G0,てゅんはさいころ
easy,58x8=464,JI·G0,ふぁんはしろじ
easy,59x8=472,JI·G0,てんはしゅに
easy,15x2=030,jI·E0,いこんにさん
easy,25x2=050,jI·E0,にこんにこ
easy,12x5=060,jI·E0,てぃんころん
easy,15x4=060,jI·E0,いこんしろん
easy,14x5=070,jI·E0,ひょんこなお
easy,35x2=070,jI·E0,そんになお
easy,16x5=080,jI·E0,いろんこはれ
easy,15x6=090,jI·E0,いこんろくれ
easy,18x5=090,jI·E0,ひゃんこくれ
easy,45x2=090,jI·E0,しこんにくれ
easy,16x2=032,jI,いろんにみに
easy,17x2=034,jI,ひゅんにさじ
easy,18x2=036,jI,ひゃんにみろ
easy,19x2=038,jI,いきんにさや
easy,14x3=042,jI,ひょんさじぶ
easy,15x3=045,jI,いこんさしこ
easy,16x3=048,jI,いろんさしば
easy,17x3=051,jI,ひゅんさこい
easy,13x4=052,jI,いさんしこぶ
easy,26x2=052,jI,にろんにこぶ
easy,18x3=054,jI,ひゃんさこし
easy,27x2=054,jI,ちゅんにこし
easy,14x4=056,jI,ひょんしころ
easy,28x2=056,jI,ちゃんにころ
easy,19x3=057,jI,いきんさこな
easy,29x2=058,jI,つぇんにこば
easy,16x4=064,jI,いろんしろし
easy,13x5=065,jI,いさんころこ
easy,17x4=068,jI,ひゅんしろば
easy,12x6=072,jI,てぃんろうに
easy,18x4=072,jI,ひゃんしうに
easy,24x3=072,jI,ちょんさうに
easy,36x2=072,jI,さろんにうに
easy,37x2=074,jI,みゅんになし
easy,15x5=075,jI,いこんこなこ
easy,25x3=075,jI,にこんさなこ
easy,19x4=076,jI,いきんしなる
easy,38x2=076,jI,みゃんになる
easy,13x6=078,jI,いさんろなは
easy,26x3=078,jI,にろんさなは
easy,39x2=078,jI,せんになは
easy,27x3=081,jI,ちゅんさはい
easy,12x7=084,jI,てぃんなはし
easy,14x6=084,jI,ひょんろはし
easy,28x3=084,jI,ちゃんさはし
easy,17x5=085,jI,ひゅんこはこ
easy,29x3=087,jI,つぇんさはな
easy,13x7=091,jI,いさんなくい
easy,23x4=092,jI,つんしくに
easy,46x2=092,jI,しろんにくに
easy,47x2=094,jI,しゅんにきし
easy,19x5=095,jI,いきんこぎこ
easy,12x8=096,jI,てぃんはきろ
easy,16x6=096,jI,いろんろきろ
easy,24x4=096,jI,ちょんしきろ
easy,48x2=096,jI,しゃんにきろ
easy,14x7=098,jI,ひょんなきば
easy,49x2=098,jI,しぇんにきば
mid,65x2=130,JI·E0,もんにいさん
mid,35x4=140,JI·E0,そんしひょん
mid,25x6=150,JI·E0,にこんろいられ
mid,75x2=150,JI·E0,のんにいられ
mid,32x5=160,JI·E0,さにんこひるま
mid,34x5=170,JI·E0,みょんこひなん
mid,85x2=170,JI·E0,ほんにひなん
mid,36x5=180,JI·E0,さろんこいはん
mid,45x4=180,JI·E0,しこんしいはん
mid,38x5=190,JI·E0,みゃんこひぐれ
mid,95x2=190,JI·E0,きこんにひぐれ
mid,52x5=260,JI·E0,こにんこぶろお
mid,65x4=260,JI·E0,もんしぶろお
mid,45x6=270,JI·E0,しこんろちゅお
mid,54x5=270,JI·E0,ふぉんこちゅお
mid,35x8=280,JI·E0,そんはちゃん
mid,56x5=280,JI·E0,ころんこちゃん
mid,58x5=290,JI·E0,ふぁんこちぇん
mid,85x4=340,JI·E0,ほんしみしん
mid,45x8=360,JI·E0,しこんはさろん
mid,72x5=360,JI·E0,なにんこさろん
mid,74x5=370,JI·E0,にょんこすれ
mid,76x5=380,JI·E0,なろんこみゃお
mid,95x4=380,JI·E0,きこんしみゃお
mid,65x6=390,JI·E0,もんろぜろ
mid,78x5=390,JI·E0,うぁんこぜろ
mid,75x6=450,JI·E0,のんろよごれ
mid,92x5=460,JI·E0,きにんこじろん
mid,94x5=470,JI·E0,きょんこしゅれ
mid,96x5=480,JI·E0,きろんこしゃお
mid,98x5=490,JI·E0,きゃんこしぐれ
mid,95x6=570,JI·E0,きこんろこなん
mid,85x8=680,JI·E0,ほんはろはん
mid,95x8=760,JI·E0,きこんはなろう
mid,22x6=132,JI,ちんろいみふ
mid,33x4=132,JI,すんしいみふ
mid,44x3=132,JI,しょんさいみふ
mid,66x2=132,JI,ろろんにいみふ
mid,67x2=134,JI,りゅんにひざし
mid,45x3=135,JI,しこんさいそ
mid,34x4=136,JI,みょんしぴさろ
mid,68x2=136,JI,りゃんにぴさろ
mid,23x6=138,JI,つんろいさや
mid,46x3=138,JI,しろんさいさや
mid,69x2=138,JI,めんにいさや
mid,47x3=141,JI,しゅんさいしい
mid,24x6=144,JI,ちょんろいしし
mid,36x4=144,JI,さろんしいしし
mid,48x3=144,JI,しゃんさいしし
mid,49x3=147,JI,しぇんさいしな
mid,37x4=148,JI,みゅんしいしば
mid,38x4=152,JI,みゃんしぴらふ
mid,76x2=152,JI,なろんにぴらふ
mid,22x7=154,JI,ちんなひこし
mid,77x2=154,JI,にゅんにひこし
mid,26x6=156,JI,にろんろひころ
mid,39x4=156,JI,せんしひころ
mid,78x2=156,JI,うぁんにひころ
mid,79x2=158,JI,ねんにぴらあ
mid,23x7=161,JI,つんないるい
mid,27x6=162,JI,ちゅんろいろち
mid,54x3=162,JI,ふぉんさいろち
mid,33x5=165,JI,すんこいも
mid,55x3=165,JI,たんさいも
mid,24x7=168,JI,ちょんないろは
mid,28x6=168,JI,ちゃんろいろは
mid,56x3=168,JI,ころんさいろは
mid,57x3=171,JI,てゅんさいない
mid,43x4=172,JI,ゆんしひなつ
mid,86x2=172,JI,はろんにひなつ
mid,29x6=174,JI,つぇんろひなし
mid,58x3=174,JI,ふぁんさひなし
mid,87x2=174,JI,はなんにひなし
mid,25x7=175,JI,にこんないなご
mid,35x5=175,JI,そんこいなご
mid,22x8=176,JI,ちんはいなり
mid,44x4=176,JI,しょんしいなり
mid,88x2=176,JI,わんにいなり
mid,59x3=177,JI,てんさひなな
mid,89x2=178,JI,へんにいなば
mid,26x7=182,JI,にろんないっぱ
mid,23x8=184,JI,つんはいやし
mid,46x4=184,JI,しろんしいやし
mid,37x5=185,JI,みゅんこひばこ
mid,47x4=188,JI,しゅんしいわ
mid,27x7=189,JI,ちゅんなひやく
mid,24x8=192,JI,ちょんはぴくに
mid,32x6=192,JI,さにんろぴくに
mid,48x4=192,JI,しゃんしぴくに
mid,64x3=192,JI,りょんさぴくに
mid,96x2=192,JI,きろんにぴくに
mid,97x2=194,JI,きゅんにぴくし
mid,39x5=195,JI,せんこひきこ
mid,65x3=195,JI,もんさひきこ
mid,28x7=196,JI,ちゃんなぴくる
mid,49x4=196,JI,しぇんしぴくる
mid,98x2=196,JI,きゃんにぴくる
mid,22x9=198,JI,ちんききゃ
mid,33x6=198,JI,すんろきゃ
mid,66x3=198,JI,ろろんさきゃ
mid,99x2=198,JI,けんにきゃ
mid,74x3=222,JI,にょんさにち
mid,32x7=224,JI,さにんなちよ
mid,75x3=225,JI,のんさちこ
mid,76x3=228,JI,なろんさちゃ
mid,33x7=231,JI,すんなついい
mid,77x3=231,JI,にゅんさついい
mid,78x3=234,JI,うぁんさつゆ
mid,79x3=237,JI,ねんさつな
mid,34x7=238,JI,みょんなつば
mid,35x7=245,JI,そんなちょこ
mid,36x7=252,JI,さろんなにこに
mid,42x6=252,JI,しにんろにこに
mid,63x4=252,JI,むんしにこに
mid,84x3=252,JI,はしんさにこに
mid,85x3=255,JI,ほんさぶた
mid,32x8=256,JI,さにんはにごろ
mid,64x4=256,JI,りょんしにごろ
mid,43x6=258,JI,ゆんろにこば
mid,86x3=258,JI,はろんさにこば
mid,37x7=259,JI,みゅんなぶらき
mid,87x3=261,JI,はなんさふり
mid,33x8=264,JI,すんはふろし
mid,44x6=264,JI,しょんろふろし
mid,66x4=264,JI,ろろんしふろし
mid,88x3=264,JI,わんさふろし
mid,53x5=265,JI,こさんこぶろこ
mid,38x7=266,JI,みゃんなにむ
mid,89x3=267,JI,へんさぷろな
mid,67x4=268,JI,りゅんしふろば
mid,34x8=272,JI,みょんはふうじ
mid,68x4=272,JI,りゃんしふうじ
mid,39x7=273,JI,せんなふなさ
mid,55x5=275,JI,たんこにの
mid,46x6=276,JI,しろんろぷうる
mid,69x4=276,JI,めんしぷうる
mid,47x6=282,JI,しゅんろちゃっぷ
mid,94x3=282,JI,きょんさちゃっぷ
mid,57x5=285,JI,てゅんこにぱ
mid,95x3=285,JI,きこんさにぱ
mid,32x9=288,JI,さにんきにっぱ
mid,36x8=288,JI,さろんはにっぱ
mid,48x6=288,JI,しゃんろにっぱ
mid,96x3=288,JI,きろんさにっぱ
mid,97x3=291,JI,きゅんさつきひ
mid,73x4=292,JI,ぬんしふきふ
mid,42x7=294,JI,しにんなにきし
mid,49x6=294,JI,しぇんろにきし
mid,98x3=294,JI,きゃんさにきし
mid,59x5=295,JI,てんこふきこ
mid,37x8=296,JI,みゅんはぶくろ
mid,74x4=296,JI,にょんしぶくろ
mid,33x9=297,JI,すんきにくな
mid,99x3=297,JI,けんさにくな
mid,83x4=332,JI,はさんしすに
mid,42x8=336,JI,しにんはすろ
mid,84x4=336,JI,はしんしすろ
mid,43x8=344,JI,ゆんはみしし
mid,86x4=344,JI,はろんしみしし
mid,87x4=348,JI,はなんしさしゃ
mid,44x8=352,JI,しょんはそに
mid,88x4=352,JI,わんしそに
mid,89x4=356,JI,へんしぞろ
mid,52x7=364,JI,こにんなすりゅ
mid,73x5=365,JI,ぬんこみるこ
mid,46x8=368,JI,しろんはさるや
mid,53x7=371,JI,こさんなない
mid,62x6=372,JI,ろにんろすうぷ
mid,93x4=372,JI,きさんしすうぷ
mid,75x5=375,JI,のんこみなこ
mid,47x8=376,JI,しゅんはすうる
mid,94x4=376,JI,きょんしすうる
mid,42x9=378,JI,しにんきすうぱ
mid,54x7=378,JI,ふぉんなすうぱ
mid,63x6=378,JI,むんろすうぱ
mid,48x8=384,JI,しゃんはみやし
mid,64x6=384,JI,りょんろみやし
mid,96x4=384,JI,きろんしみやし
mid,55x7=385,JI,たんなみやこ
mid,77x5=385,JI,にゅんこみやこ
mid,43x9=387,JI,ゆんきさばん
mid,97x4=388,JI,きゅんしさわ
mid,49x8=392,JI,しぇんはぜに
mid,56x7=392,JI,ころんなぜに
mid,98x4=392,JI,きゃんしぜに
mid,79x5=395,JI,ねんこさきこ
mid,44x9=396,JI,しょんきせる
mid,66x6=396,JI,ろろんろせる
mid,99x4=396,JI,けんしせる
mid,57x7=399,JI,てゅんなさけ
mid,72x6=432,JI,なにんろゆに
mid,62x7=434,JI,ろにんなしみゅ
mid,73x6=438,JI,ぬんろゆば
mid,63x7=441,JI,むんなじじい
mid,74x6=444,JI,にょんろしょじ
mid,64x7=448,JI,りょんなししゃ
mid,65x7=455,JI,もんなしだ
mid,76x6=456,JI,なろんろさいころ
mid,66x7=462,JI,ろろんなしるふぃ
mid,77x6=462,JI,にゅんろしるふぃ
mid,93x5=465,JI,きさんこしろこ
mid,52x9=468,JI,こにんきしるば
mid,78x6=468,JI,うぁんろしるば
mid,67x7=469,JI,りゅんなしろき
mid,79x6=474,JI,ねんろしにょ
mid,95x5=475,JI,きこんこしゅご
mid,68x7=476,JI,りゃんなしゅろ
mid,53x9=477,JI,こさんきしゅな
mid,69x7=483,JI,めんなしゃみ
mid,97x5=485,JI,きゅんこしゃこ
mid,54x9=486,JI,ふぉんきしゃろ
mid,82x6=492,JI,はにんろしぇふ
mid,55x9=495,JI,たんきしくら
mid,99x5=495,JI,けんこしくら
mid,62x8=496,JI,ろにんはしぇる
mid,83x6=498,JI,はさんろしぇぱ
mid,92x6=552,JI,きにんろたに
mid,62x9=558,JI,ろにんきたば
mid,93x6=558,JI,きさんろたば
mid,94x6=564,JI,きょんろころし
mid,63x9=567,JI,むんきころな
mid,82x7=574,JI,はにんなこうし
mid,64x9=576,JI,りょんきこうろ
mid,72x8=576,JI,なにんはこうろ
mid,96x6=576,JI,きろんろこうろ
mid,83x7=581,JI,はさんなふぁい
mid,97x6=582,JI,きゅんろふぁに
mid,73x8=584,JI,ぬんはこはし
mid,65x9=585,JI,もんきこぼ
mid,84x7=588,JI,はしんならっぱ
mid,98x6=588,JI,きゃんろらっぱ
mid,74x8=592,JI,にょんはてつ
mid,66x9=594,JI,ろろんきこきゅ
mid,99x6=594,JI,けんろこきゅ
mid,85x7=595,JI,ほんならくご
mid,92x7=644,JI,きにんなろっし
mid,72x9=648,JI,なにんきじょば
mid,93x7=651,JI,きさんなもび
mid,82x8=656,JI,はにんはもろ
mid,73x9=657,JI,ぬんきもなあ
mid,94x7=658,JI,きょんなもや
mid,83x8=664,JI,はさんはるるし
mid,95x7=665,JI,きこんなるるこ
mid,74x9=666,JI,にょんきるるる
mid,84x8=672,JI,はしんはるうつ
mid,96x7=672,JI,きろんなるうつ
mid,75x9=675,JI,のんきるの
mid,97x7=679,JI,きゅんなるね
mid,76x9=684,JI,なろんきじゃし
mid,98x7=686,JI,きゃんなじゃる
mid,86x8=688,JI,はろんはるんぱ
mid,77x9=693,JI,にゅんきめす
mid,99x7=693,JI,けんなめす
mid,87x8=696,JI,はなんはめろ
mid,92x8=736,JI,きにんはぬる
mid,82x9=738,JI,はにんきうすば
mid,93x8=744,JI,きさんはなっし
mid,83x9=747,JI,はさんきなしゅ
mid,94x8=752,JI,きょんはのぶ
mid,84x9=756,JI,はしんきのろ
mid,85x9=765,JI,ほんきなむこ
mid,96x8=768,JI,きろんはうるば
mid,86x9=774,JI,はろんきし
mid,97x8=776,JI,きゅんはうる
mid,87x9=783,JI,はなんきにゃす
mid,98x8=784,JI,きゃんはにゃし
mid,88x9=792,JI,わんきねつ
mid,99x8=792,JI,けんはねつ
mid,92x9=828,JI,きにんきばにあ
mid,93x9=837,JI,きさんきやみな
mid,94x9=846,JI,きょんきばじる
mid,95x9=855,JI,きこんきはた
mid,96x9=864,JI,きろんきはるし
mid,97x9=873,JI,きゅんきはなみ
mid,98x9=882,JI,きゃんきわに
mid,99x9=891,JI,けんきはくい
hard,25x4=100,jI+·E0,にこんしいま
hard,15x8=120,jI+·E0,いこんはひにん
hard,17x6=102,jI+,ひゅんろとに
hard,34x3=102,jI+,みょんさとに
hard,13x8=104,jI+,いさんはとし
hard,26x4=104,jI+,にろんしとし
hard,15x7=105,jI+,いこんなとら
hard,35x3=105,jI+,そんさとら
hard,12x9=108,jI+,てぃんきとぱ
hard,18x6=108,jI+,ひゃんろとぱ
hard,27x4=108,jI+,ちゅんしとぱ
hard,36x3=108,jI+,さろんさとぱ
hard,37x3=111,jI+,みゅんさぴっぴ
hard,14x8=112,jI+,ひょんはいいぶ
hard,16x7=112,jI+,いろんないいぶ
hard,28x4=112,jI+,ちゃんしいいぶ
hard,19x6=114,jI+,いきんろいいし
hard,38x3=114,jI+,みゃんさいいし
hard,29x4=116,jI+,つぇんしいいろ
hard,13x9=117,jI+,いさんきぴいな
hard,39x3=117,jI+,せんさぴいな
hard,17x7=119,jI+,ひゅんなぴいく
hard,14x9=126,jI+,ひょんきいふる
hard,18x7=126,jI+,ひゃんないふる
hard,16x8=128,jI+,いろんはいにば
hard,19x7=133,jI+,いきんないす
hard,15x9=135,jI+,いこんきいそ
hard,17x8=136,jI+,ひゅんはぴさろ
hard,16x9=144,jI+,いろんきいしし
hard,18x8=144,jI+,ひゃんはいしし
hard,19x8=152,jI+,いきんはぴらふ
hard,17x9=153,jI+,ひゅんきぴらみ
hard,18x9=162,jI+,ひゃんきいろち
hard,19x9=171,jI+,いきんきいない
hard,25x8=200,JI+·E0,にこんはふれん
hard,35x6=210,JI+·E0,そんろにと
hard,75x4=300,JI+·E0,のんしさまあ
hard,85x6=510,JI+·E0,ほんろごと
hard,65x8=520,JI+·E0,もんはこぶん
hard,75x8=600,JI+·E0,のんはろま
hard,67x3=201,JI+,りゅんさにんい
hard,29x7=203,JI+,つぇんなふんさ
hard,34x6=204,JI+,みょんろぶんし
hard,68x3=204,JI+,りゃんさぶんし
hard,23x9=207,JI+,つんきぶおう
hard,69x3=207,JI+,めんさぶおう
hard,26x8=208,JI+,にろんはにんば
hard,24x9=216,JI+,ちょんきにぃろ
hard,27x8=216,JI+,ちゅんはにぃろ
hard,36x6=216,JI+,さろんろにぃろ
hard,37x6=222,JI+,みゅんろにち
hard,28x8=224,JI+,ちゃんはちよ
hard,25x9=225,JI+,にこんきちこ
hard,38x6=228,JI+,みゃんろちゃ
hard,29x8=232,JI+,つぇんはつぶ
hard,26x9=234,JI+,にろんきつゆ
hard,39x6=234,JI+,せんろつゆ
hard,27x9=243,JI+,ちゅんきふゆ
hard,28x9=252,JI+,ちゃんきにこに
hard,29x9=261,JI+,つぇんきふり
hard,43x7=301,JI+,ゆんなでれ
hard,38x8=304,JI+,みゃんはみんじ
hard,76x4=304,JI+,なろんしみんじ
hard,34x9=306,JI+,みょんきさんる
hard,44x7=308,JI+,しょんなさんば
hard,77x4=308,JI+,にゅんしさんば
hard,39x8=312,JI+,せんはさいふ
hard,78x4=312,JI+,うぁんしさいふ
hard,35x9=315,JI+,そんきぷろ
hard,45x7=315,JI+,しこんなぷろ
hard,79x4=316,JI+,ねんしさいろ
hard,46x7=322,JI+,しろんなさち
hard,36x9=324,JI+,さろんきみに
hard,47x7=329,JI+,しゅんなさつき
hard,37x9=333,JI+,みゅんきみず
hard,48x7=336,JI+,しゃんなすろ
hard,38x9=342,JI+,みゃんきみしつ
hard,49x7=343,JI+,しぇんなみゆ
hard,39x9=351,JI+,せんきみらい
hard,67x6=402,JI+,りゅんろしんぷ
hard,45x9=405,JI+,しこんきしんご
hard,58x7=406,JI+,ふぁんなじんろ
hard,68x6=408,JI+,りゃんろしんや
hard,59x7=413,JI+,てんなしいざ
hard,46x9=414,JI+,しろんきしいし
hard,69x6=414,JI+,めんろしいし
hard,47x9=423,JI+,しゅんきよつ
hard,48x9=432,JI+,しゃんきゆに
hard,49x9=441,JI+,しぇんきじじい
hard,56x9=504,JI+,ころんきこんし
hard,63x8=504,JI+,むんはこんし
hard,72x7=504,JI+,なにんなこんし
hard,84x6=504,JI+,はしんろこんし
hard,73x7=511,JI+,ぬんなこぴい
hard,64x8=512,JI+,りょんはらぴぶ
hard,57x9=513,JI+,てゅんきらいざ
hard,86x6=516,JI+,はろんろこいる
hard,74x7=518,JI+,にょんなこいや
hard,58x9=522,JI+,ふぁんきこっぷ
hard,87x6=522,JI+,はなんろこっぷ
hard,75x7=525,JI+,のんなこぶら
hard,66x8=528,JI+,ろろんはらふぁ
hard,88x6=528,JI+,わんろらふぁ
hard,59x9=531,JI+,てんきこみい
hard,76x7=532,JI+,なろんなこみに
hard,89x6=534,JI+,へんろこさじ
hard,67x8=536,JI+,りゅんはこざる
hard,77x7=539,JI+,にゅんなごみき
hard,68x8=544,JI+,りゃんはらっし
hard,78x7=546,JI+,うぁんなこじろ
hard,69x8=552,JI+,めんはたに
hard,79x7=553,JI+,ねんなだず
hard,86x7=602,JI+,はろんなろおぷ
hard,67x9=603,JI+,りゅんきこなあ
hard,76x8=608,JI+,なろんはろおば
hard,87x7=609,JI+,はなんなろんぐ
hard,68x9=612,JI+,りゃんきりに
hard,77x8=616,JI+,にゅんはりろ
hard,88x7=616,JI+,わんなりろ
hard,69x9=621,JI+,めんきるふぃ
hard,89x7=623,JI+,へんなるつ
hard,78x8=624,JI+,うぁんはるふゆ
hard,79x8=632,JI+,ねんはむに
hard,78x9=702,JI+,うぁんきなんぶ
hard,88x8=704,JI+,わんはしい
hard,79x9=711,JI+,ねんきなひい
hard,89x8=712,JI+,へんはないつ
hard,89x9=801,JI+,へんきばんび
