# Tier1 易 — 足し算なし＋百の位なし(jI系) (236件)

## ji
12×2=024	いちがにじ
52×6=312	らんぶさてぃ
63×5=315	むこはぷろ
53×6=318	こざるさいば
54×6=324	こじろみに
65×5=325	ろだがさに
67×5=335	るのあささご
56×6=336	ころろすろと
57×6=342	こうろみしつ
69×5=345	めらさよこ
58×6=348	こはるさしゃ
59×6=354	てろがそし
83×5=415	はそよゐこ
52×8=416	らふぁしーる
53×8=424	こみやしちゅ
85×5=425	はたゆにこ
54×8=432	ごしゃがゆに
87×5=435	はのがしそ
89×5=445	ぺこがしょこ
56×8=448	ごむばししゃ
57×8=456	こうやさいこ
58×8=464	らぱしろじ
59×8=472	てばがしゅに

## jI·E0
15×2=030	ぴらふさん
25×2=050	にこにこれ
12×5=060	てぃらろん
15×4=060	ひこしろん
14×5=070	ひよこなお
35×2=070	そにくなお
16×5=080	いもがはれ
15×6=090	ひころくれ
18×5=090	ひばこくれ
45×2=090	しらふくれ

## jI
16×2=032	いろちみに
17×2=034	ひなつさじ
18×2=036	いぱがみろ
19×2=038	ぴくにさや
14×3=042	ひょざはじぶ
15×3=045	ぴらみしこ
16×3=048	ひろみしは
17×3=051	いぬがこい
13×4=052	ひざしこつ
26×2=052	ぷるぷこつ
18×3=054	いやみこし
27×2=054	ちゅにがこし
14×4=056	いししころ
28×2=056	ちゃぷがころ
19×3=057	いくさこな
29×2=058	ふきふこば
16×4=064	ひろしろし
13×5=065	いそがろこ
17×4=068	ひなしろば
12×6=072	いんふなに
18×4=072	いやしなに
24×3=072	ふゆがなに
36×2=072	さるになに
37×2=074	すーぷなし
15×5=075	いだがなこ
25×3=075	ぷらすなこ
19×4=076	ぴくしなる
38×2=076	さばになる
13×6=078	ぴさろなは
26×3=078	にむがなは
39×2=078	ぜにがなは
27×3=081	ふなさはい
12×7=084	てぃなはし
14×6=084	いじるはし
28×3=084	つばさはし
17×5=085	いのがはこ
29×3=087	ふくさはな
13×7=091	いざながき
23×4=092	つゆがくに
46×2=092	しるふくに
47×2=094	しゅにがきし
19×5=095	ひきこぎこ
12×8=096	いにばきろ
16×6=096	いるるきろ
24×4=096	ふじょがきろ
48×2=096	しゃつがきろ
14×7=098	いしなきば
49×2=098	しぇふきば
